CUI,freq
C0428475,6
C1704338,77
C1704656,78
C0008902,12
C0008903,11
C0678229,11
C0085805,102
C0439231,101
C0006277,1
C0225897,4
C0031638,6
C0010054,50
C0151744,16
C0031962,60
C1272092,9
C0202045,4
C0006826,31
C0998265,29
C1306459,31
C0683325,11
C0024091,5
C3887615,5
C0449261,54
C0439284,29
C0150404,2
C0518766,2
C0017725,50
C1882084,4
C0524425,2
C1700035,2
C1708728,11
C2986775,12
C1510411,3
C0041667,3
C1521991,2
C0205251,61
C0026385,3
C1550472,61
C3890211,61
C4048187,61
C4321351,61
C4522223,61
C0337438,1
C0595310,1
C0180309,16
C0439508,118
C0005802,17
C0002996,5
C0002997,6
C0455539,6
C0007637,7
C1512693,12
C0002962,31
C0455527,18
C3274787,3
C3539002,3
C2608320,10
C1549445,91
C1705108,91
C1710701,91
C2698872,2
C0332296,12
C1880497,13
C1996904,12
C3489408,5
C0428776,7
C4032878,13
C0205166,20
C1706317,20
C0521346,3
C1546767,3
C0240320,22
C1262886,2
C1336645,3
C1412836,2
C1710303,2
C4054228,5
C0231441,3
C0682369,4
C1707877,11
C0205099,23
C0015177,9
C1879652,15
C0035820,4
C1705810,4
C3871154,4
C0683312,69
C3889287,56
C4551412,2
C0151280,4
C0003280,16
C0848112,14
C3536711,12
C0079411,2
C3146294,2
C0023189,11
C0036919,116
C0445204,6
C0439385,9
C1320716,17
C2984908,6
C3854213,7
C0424589,2
C0542479,1
C1442080,1
C4330907,1
C0004239,3
C0344423,3
C1963068,3
C0205177,35
C3853793,27
C3888249,27
C1424025,6
C2606415,6
C1522538,15
C0455610,13
C0032821,16
C0202194,16
C0304475,17
C0597277,28
C3714637,16
C0717550,7
C0599880,2
C0679199,21
C1522609,31
C0030551,7
C3826998,28
C4321476,29
C1704706,24
C1290884,1
C0175566,4
C0017628,6
C0580545,12
C0849974,22
C1561566,22
C4528367,22
C1619966,12
C1299351,65
C2700149,65
C3887512,65
C3889660,65
C4321237,66
C4522209,65
C3854129,21
C0009247,20
C0599755,19
C0015259,20
C0456698,1
C1524031,11
C1552614,11
C2826545,11
C1522704,12
C0199168,22
C0205476,22
C1519386,22
C0421330,2
C1739768,16
C0205390,49
C1300072,40
C1306673,41
C0023508,3
C0347983,4
C0023516,3
C0427512,3
C3272281,13
C3538919,13
C0205388,2
C0441835,4
C4522145,4
C1266129,7
C4553172,7
C1415181,6
C1519815,23
C1632851,3
C3891303,6
C1707491,6
C0231220,24
C1320528,6
C3245505,7
C1960636,4
C1319635,43
C3665365,14
C3539185,24
C3540725,24
C3540726,24
C3540727,24
C0443218,3
C2827483,3
C3714578,4
C2983605,13
C0003591,8
C0020461,9
